CustomerID,Recency,Frequency,Monetary,UniqueProducts,TotalItems,AvgOrderValue,TenureDays,Cluster
12538,29,1,363.95,21,191,363.95,29,1
12539,22,4,5568.35,157,2067,1392.0875,334,3
12540,20,17,13400.24,277,6685,788.2494117647059,362,3
12541,30,3,981.18,46,680,327.06,281,0
12544,36,1,372.7,19,136,372.7,36,1
12545,75,2,1000.39,42,523,500.195,260,0
12546,47,2,1161.5,59,633,580.75,78,0
12547,198,2,207.8,7,134,103.9,281,2
12548,166,1,95.2,5,49,95.2,166,2
12550,79,1,964.83,57,569,964.83,79,0
12551,358,1,168.0,10,100,168.0,358,2
12552,39,2,437.82,20,88,218.91,40,1
12553,8,10,3692.28,95,1965,369.228,330,3
12556,50,2,603.71,100,358,301.855,151,0
12557,16,5,11990.96,15,4384,2398.192,372,3
12558,8,1,269.96,11,196,269.96,8,1
12559,311,2,561.71,21,283,280.855,320,2
12560,5,3,2134.01,91,1110,711.3366666666667,143,0
12561,303,1,238.85,16,177,238.85,303,2
12562,8,7,3781.74,99,1779,540.2485714285715,199,3
12564,261,1,456.9,21,133,456.9,261,2
12565,289,1,145.92,9,80,145.92,289,2
12566,86,1,351.65,19,265,351.65,86,1
12567,23,10,9401.28,323,4305,940.128,370,3
12569,2,32,4124.69,92,1801,128.8965625,252,3
12571,40,2,519.61,31,523,259.805,122,0
12572,9,2,1020.42,53,452,510.21,52,0
12573,227,1,160.54000000000002,26,84,160.54000000000002,227,2
12574,316,1,218.45,11,61,218.45,316,2
12576,36,5,1315.83,72,967,263.166,305,0
12577,35,3,657.8,137,472,219.26666666666665,359,0
12578,21,2,2794.51,111,1196,1397.255,330,3
12579,78,1,440.42,29,285,440.42,78,1
12580,247,1,415.7,24,238,415.7,247,2
12581,40,1,197.71,15,161,197.71,40,1
12582,239,2,511.36,21,300,255.68,289,2
12583,3,15,7281.38,115,5060,485.42533333333336,374,3
12584,4,9,2338.15,44,416,259.7944444444445,280,0
12585,234,2,2040.1,77,1279,1020.05,351,0
12586,17,1,196.94000000000003,11,79,196.94000000000003,17,1
12587,8,1,144.0,4,51,144.0,8,1
12588,39,1,214.9,10,53,214.9,39,1
12589,29,2,646.68,29,306,323.34,145,0
12590,211,2,9864.26,68,4283,4932.13,211,3
12591,317,1,452.85,26,228,452.85,317,2
12592,92,2,437.6,11,290,218.8,213,1
12593,109,3,418.1,14,206,139.36666666666665,219,1
12594,38,10,3338.2200000000003,50,1777,333.822,323,3
12596,51,2,618.27,25,474,309.135,242,0
12597,19,4,3811.22,184,2236,952.805,268,3
12598,10,8,3023.08,84,1964,377.885,285,3
12599,29,7,1032.58,32,956,147.51142857142855,304,0
12600,29,10,2599.04,32,774,259.904,371,3
12601,190,5,577.0600000000001,21,245,115.412,333,2
12602,59,1,153.12,12,162,153.12,59,1
12603,22,1,739.1999999999999,2,63,739.1999999999999,22,1
12604,79,2,254.18,15,201,127.09,262,1
12607,60,1,1579.51,101,1228,1579.51,60,0
12609,78,3,1126.85,57,648,375.6166666666666,318,0
12610,23,5,2099.54,85,1049,419.908,126,0
12611,52,1,1193.32,65,846,1193.32,52,0
12612,74,1,704.0400000000001,19,262,704.0400000000001,74,1
12613,57,5,3344.38,124,1644,668.876,262,3
12614,278,1,315.6,20,76,315.6,278,2
12615,2,4,2291.19,82,1376,572.7975,168,0
12616,95,2,713.3,25,284,356.65,297,0
12617,29,1,355.53,39,213,355.53,29,1
12618,22,1,177.31,11,96,177.31,22,1
12619,16,9,3641.24,50,3378,404.5822222222222,253,3
12620,15,3,1339.41,89,1181,446.47,205,0
12621,2,20,13689.67,261,7440,684.4835,366,3
12622,232,1,180.1,11,69,180.1,232,2
12623,276,1,305.1,18,191,305.1,276,2
12624,106,2,641.13,36,355,320.565,178,0
12625,212,2,2683.82,73,1612,1341.91,319,0
12626,23,9,6620.48,232,3453,735.6088888888888,327,3
12627,11,7,4478.53,162,2752,639.79,140,3
12628,4,3,786.46,34,448,262.15333333333336,65,0
12630,10,2,1270.88,60,548,635.44,44,0
12631,57,1,640.5,31,236,640.5,57,1
12633,59,4,2163.98,73,1162,540.995,288,0
12635,90,2,1689.18,96,1172,844.59,155,0
12637,67,8,6021.9,205,3002,752.7375,324,3
12638,33,1,671.69,39,577,671.69,33,0
12639,239,1,486.1,22,201,486.1,239,2
12640,24,3,1174.58,47,311,391.5266666666666,82,0
12641,115,1,185.9,10,72,185.9,115,1
12642,25,3,1013.26,39,552,337.75333333333333,108,0
12643,128,6,3344.64,11,1808,557.4399999999999,333,0
12644,130,1,477.91,31,325,477.91,130,0
12645,34,4,1775.18,58,1084,443.795,316,0
12646,5,2,1346.97,43,897,673.485,49,0
12647,22,12,3722.82,78,1431,310.235,369,3
12648,155,1,318.05,21,160,318.05,155,1
12649,107,3,623.51,28,586,207.83666666666667,212,0
12650,3,1,314.44,20,254,314.44,3,1
12651,335,1,114.0,9,78,114.0,335,2
12652,331,1,919.98,48,505,919.98,331,2
12653,149,2,2209.85,37,919,1104.925,297,0
12654,11,5,601.98,31,264,120.396,295,0
12656,17,5,4051.17,89,1723,810.234,234,3
12657,11,4,1643.18,35,1044,410.795,79,0
12658,19,1,686.05,36,320,686.05,19,1
12659,30,1,91.68,5,105,91.68,30,1
12660,11,1,245.1,13,127,245.1,11,1
12662,1,11,3849.78,129,2058,349.98,373,3
12664,8,9,4881.88,10,1203,542.4311111111111,323,3
12665,325,1,63.0,3,37,63.0,325,2
12667,58,1,620.13,33,395,620.13,58,1
12668,12,4,3807.15,115,1634,951.7875,356,3
12669,151,3,2744.03,98,1115,914.6766666666666,257,0
12670,10,5,2996.05,58,1397,599.21,233,3
12672,330,1,225.9,10,78,225.9,330,2
12673,5,2,610.52,42,351,305.26,327,0
12674,39,4,1970.6,52,1133,492.65,208,0
12676,25,6,1331.39,33,670,221.8983333333333,311,0
12678,42,12,17628.46,105,10923,1469.0383333333332,354,3
12679,59,4,1113.02,43,554,278.255,284,0
12680,1,4,862.81,33,443,215.7025,113,0
12681,15,22,13787.54,267,7536,626.7063636363637,368,3
12682,4,31,12288.22,209,5575,396.3941935483871,371,3
12683,4,15,8476.57,177,4987,565.1046666666666,366,3
12684,8,7,2283.63,61,1985,326.23285714285714,213,3
12685,28,6,2863.08,117,1523,477.18,94,0
12686,372,1,89.14,7,107,89.14,372,2
12688,114,1,4873.81,171,3028,4873.81,114,0
12689,26,2,1247.61,57,628,623.805,128,0
12690,206,1,389.01,16,106,389.01,206,2
12691,28,6,1035.8,21,394,172.63333333333333,357,0
12693,127,4,855.91,35,255,213.9775,319,0
12694,70,2,869.67,32,509,434.835,183,0
12695,7,4,582.1,23,220,145.525,210,0
12697,29,3,957.59,37,508,319.19666666666666,169,0
12700,8,4,4939.99,193,2967,1234.9975,215,3
12701,80,2,797.71,50,678,398.855,242,0
12702,20,1,219.0,12,53,219.0,20,1
12703,71,1,283.55,21,164,283.55,71,1
12704,7,8,2340.84,64,1006,292.605,170,0
12705,15,9,6868.29,228,3997,763.1433333333333,357,3
12707,292,1,603.42,33,256,603.42,292,2
12708,30,10,2712.91,86,1307,271.291,369,3
12709,15,15,9736.52,93,3936,649.1013333333334,367,3
12710,97,3,1149.02,75,851,383.00666666666666,201,0
12712,29,13,4396.13,58,1062,338.1638461538462,371,3
12713,1,1,848.55,38,508,848.55,1,0
12714,9,5,4708.86,216,3069,941.772,295,3
12715,106,1,353.86,20,197,353.86,106,1
12716,4,2,1053.49,60,708,526.745,133,0
12717,151,2,1030.98,49,506,515.49,246,0
12718,71,1,238.25,19,203,238.25,71,1
12719,5,2,644.95,34,374,322.475,65,1
12720,3,25,5781.73,211,4672,231.2692,369,3
12721,32,6,2656.13,133,1959,442.6883333333333,355,3
12722,85,4,997.63,50,566,249.4075,151,0
12723,4,5,725.07,53,434,145.014,65,0
12724,5,4,1031.41,47,445,257.8525,332,0
12725,371,1,427.8,24,164,427.8,371,2
12726,28,7,2609.1,57,3143,372.7285714285714,357,3
12727,11,7,3980.7,109,2098,568.6714285714286,320,3
12728,71,4,836.33,38,419,209.0825,332,0
12729,114,1,453.01,26,233,453.01,114,1
12731,24,12,18895.91,109,8437,1574.6591666666666,365,3
12732,180,1,236.26,12,111,236.26,180,2
12733,234,1,383.95,22,137,383.95,234,2
12734,353,1,110.4,4,88,110.4,353,2
12735,315,2,779.5699999999999,38,368,389.785,337,2
12736,333,1,234.0,4,173,234.0,333,2
12738,372,1,155.35,11,148,155.35,372,2
12739,78,2,1013.04,38,486,506.52,99,0
12740,64,1,427.6,27,342,427.6,64,1
12743,134,2,546.43,114,319,273.215,134,0
12744,52,7,21279.29,178,5241,3039.898571428572,318,3
12747,2,11,4196.01,42,1275,381.4554545454546,369,3
12748,1,209,33719.73,1768,25747,161.3384210526316,374,3
12749,4,5,4090.88,160,1471,818.176,213,3
12750,129,1,275.88,15,137,275.88,129,1
12752,81,1,4366.78,53,2262,4366.78,81,0
12753,23,6,21429.39,132,11421,3571.565,363,3
12754,236,3,3010.74,49,6481,1003.58,309,3
12755,281,2,3811.95,4,1491,1905.975,366,0
12756,87,1,112.07999999999998,4,144,112.07999999999998,87,1
12757,16,13,7857.1,237,2402,604.3923076923077,211,3
12758,117,2,2791.59,84,2135,1395.795,277,0
12759,52,3,1531.44,81,902,510.48,276,0
12762,8,2,1898.52,62,1227,949.26,25,0
12763,138,2,494.08,16,316,247.04,369,2
12764,317,1,1693.88,45,386,1693.88,317,0
12766,4,7,6989.63,205,3646,998.5185714285716,366,3
12769,239,1,1143.6,32,356,1143.6,239,0
12770,211,1,1351.45,12,743,1351.45,211,0
12772,60,1,892.47,55,556,892.47,60,0
12775,17,5,1386.04,47,877,277.208,311,0
12778,20,6,822.23,40,825,137.03833333333333,312,0
12779,38,8,3981.36,88,2024,497.67,371,3
12781,64,2,826.74,25,671,413.37,285,0
12782,5,5,2330.92,81,1086,466.184,358,3
12783,2,6,2225.91,76,624,370.985,75,0
12784,9,2,574.42,54,300,287.21,15,1
12785,364,1,311.95,14,131,311.95,364,2
12787,10,3,463.66,17,261,154.55333333333334,193,1
12789,65,1,91.85,4,4,91.85,65,1
12790,192,1,324.92,21,166,324.92,192,2
12791,374,1,192.6,2,97,192.6,374,2
12792,257,1,400.54,25,217,400.54,257,2
12793,335,2,545.48,21,295,272.74,371,2
12794,53,2,860.41,43,592,430.205,99,0
12795,19,1,430.48,14,68,430.48,19,1
12797,366,1,254.03,13,118,254.03,366,2
12798,10,3,6977.04,6,5256,2325.68,171,0
12802,187,1,427.58,25,314,427.58,187,2
12808,37,3,483.65,27,188,161.21666666666667,369,0
12809,178,1,489.31,25,220,489.31,178,0
12811,261,3,514.85,27,230,171.61666666666667,284,2
12812,45,1,229.64,15,164,229.64,45,1
12814,102,1,125.92,2,49,125.92,102,1
12815,148,2,1063.46,38,379,531.73,198,0
12816,96,2,572.2,27,128,286.1,176,1
12817,281,1,166.04,4,53,166.04,281,2
12818,262,1,1542.08,14,929,1542.08,262,0
12820,3,4,942.34,55,722,235.585,327,0
12821,214,1,92.72,6,70,92.72,214,2
12822,71,2,948.88,41,550,474.44,87,0
12823,75,5,1759.5,1,230,351.9,297,0
12824,60,1,397.12,25,232,397.12,60,1
12826,3,7,1474.72,58,1058,210.67428571428573,365,3
12827,6,3,430.15,19,197,143.38333333333335,44,1
12828,3,6,1018.71,46,494,169.785,130,0
12829,337,2,293.0,9,376,146.5,360,2
12830,38,6,6814.64,13,9848,1135.7733333333333,172,3
12831,262,1,215.05,9,135,215.05,262,2
12832,32,2,383.03,27,195,191.515,98,1
12833,145,1,417.38,24,156,417.38,145,1
12834,283,1,312.38,18,110,312.38,283,2
12836,59,4,2612.86,148,1064,653.215,312,3
12837,173,1,134.1,12,24,134.1,173,2
12838,34,2,683.13,115,359,341.565,374,0
12839,3,14,5591.42,95,3807,399.38714285714286,367,3
12840,144,4,2726.77,67,1511,681.6925,227,0
12841,5,25,4022.35,229,2757,160.894,372,3
12842,70,2,1118.99,34,547,559.495,309,0
12843,66,8,1702.26,69,781,212.7825,264,0
12844,29,2,325.96000000000004,47,125,162.98000000000002,130,1
12845,267,4,354.09,26,204,88.5225,290,2
12847,22,1,871.54,72,909,871.54,22,0
12849,31,2,1050.89,47,623,525.4449999999999,269,0
12851,97,1,135.18,43,109,135.18,97,1
12852,295,1,311.55,17,149,311.55,295,2
12853,135,6,1957.1,66,800,326.18333333333334,316,0
12854,79,3,1324.5,95,627,441.5,318,0
12855,373,1,38.1,3,30,38.1,373,2
12856,8,6,2179.93,155,1079,363.32166666666666,64,0
12857,211,2,1106.4,37,343,553.2,303,0
12863,52,1,521.2,5,188,521.2,52,1
12864,138,1,147.12,3,216,147.12,138,1
12865,26,2,1568.23,86,925,784.115,124,0
12866,283,1,559.12,26,171,559.12,283,2
12867,26,7,4036.82,240,4298,576.6885714285714,360,3
12868,186,6,1607.0600000000002,72,928,267.84333333333336,374,0
12871,84,2,380.64,8,200,190.32,207,1
12872,327,2,599.97,58,319,299.985,365,2
12873,282,1,374.0,4,128,374.0,282,2
12875,143,2,343.2300000000001,1,2019,171.61500000000004,363,2
12876,58,2,2218.02,67,1941,1109.01,196,0
12877,4,12,1535.77,100,1178,127.98083333333334,359,3
12878,236,2,854.99,38,547,427.495,266,0
12879,45,3,573.22,7,370,191.07333333333332,92,1
12881,276,1,298.0,7,21,298.0,276,2
12882,9,2,1463.04,12,246,731.52,34,1
12883,25,4,703.47,39,196,175.8675,89,1
12884,88,1,309.05,7,43,309.05,88,1
12885,63,3,1175.22,66,655,391.74,124,0
12886,68,2,1378.4,75,770,689.2,220,0
12888,214,2,354.12,4,76,177.06,255,2
12890,24,1,380.47,78,259,380.47,24,1
12891,186,3,331.0,2,950,110.33333333333331,293,2
12893,31,1,188.14,27,96,188.14,31,1
12895,42,2,372.8,22,210,186.4,87,1
12897,205,2,216.5,3,110,108.25,302,2
12901,9,28,17654.54,30,23075,630.5192857142857,271,3
12902,265,1,138.68,10,66,138.68,265,2
12904,18,2,509.58,59,302,254.79,172,0
12906,12,5,2919.81,55,1749,583.962,78,0
12908,176,2,750.0,1,1200,375.0,313,2
12909,40,5,2178.67,78,1280,435.734,253,0
12910,23,8,3075.04,48,1692,384.38,242,3
12912,3,5,1662.3,17,670,332.46,41,0
12913,5,5,2483.63,37,1419,496.726,368,3
12915,149,2,363.65,19,93,181.825,373,2
12916,139,4,3006.15,53,1119,751.5375,321,0
12917,128,1,594.0,2,120,594.0,128,1
12919,8,6,1335.19,34,673,222.53166666666667,170,0
12920,17,1,164.23,27,129,164.23,17,1
12921,9,37,16587.09,233,9526,448.2997297297297,373,3
12922,161,1,405.38,28,370,405.38,161,0
12923,64,1,176.97,28,69,176.97,64,1
12924,88,4,933.7,22,481,233.425,328,0
12925,5,2,694.05,42,541,347.025,75,0
12928,35,5,2062.7000000000003,59,1472,412.5400000000001,359,3
12929,312,1,117.85,8,37,117.85,312,2
12930,78,2,415.8,20,252,207.9,171,1
12931,22,15,42055.96,28,28004,2803.730666666667,358,3
12933,24,3,607.53,102,499,202.51,284,0
12935,2,7,2160.7,80,1853,308.6714285714285,319,3
12936,17,4,1063.9,56,559,265.975,78,0
12937,15,4,1504.27,81,1007,376.0675,267,0
12938,26,1,114.14,9,140,114.14,26,1
12939,64,8,11581.8,21,4876,1447.725,335,3
12940,55,2,913.54,87,411,456.77,88,0
12942,131,3,683.9,68,203,227.96666666666667,366,0
12944,36,2,604.51,29,289,302.255,355,0
12945,288,1,462.95,23,165,462.95,288,2
12947,144,6,1603.99,83,1165,267.33166666666665,373,3
12948,16,7,2064.95,82,1080,294.99285714285713,265,3
12949,31,8,4167.22,166,2381,520.9025,252,3
12950,2,3,1843.0,13,1380,614.3333333333334,24,0
12951,9,6,1064.07,53,503,177.345,331,0
12952,6,4,1387.79,64,653,346.9475,78,0
12953,10,1,329.85,17,84,329.85,10,1
12955,1,11,4757.16,81,3664,432.4690909090909,268,3
12956,306,1,108.07,19,34,108.07,306,2
12957,10,8,4017.54,208,2549,502.1925,340,3
12962,7,2,266.39,15,129,133.195,113,1
12963,8,8,1856.63,75,881,232.07875,366,3
12965,89,1,771.91,108,283,771.91,89,0
12966,10,1,160.18,10,75,160.18,10,1
12967,358,2,1660.9,19,438,830.45,372,2
12968,112,1,135.95,5,73,135.95,112,1
12970,7,4,452.24,116,310,113.06,322,0
12971,4,86,11189.91,94,9289,130.11523255813952,372,3
12974,198,1,144.8,8,24,144.8,198,2
12976,212,1,738.6,22,561,738.6,212,0
12977,156,1,39.24,9,12,39.24,156,2
12980,158,9,7374.900000000001,6,886,819.4333333333334,359,3
12981,30,2,372.22,12,242,186.11,133,1
12982,243,1,390.54,28,288,390.54,243,2
12984,19,1,97.5,4,26,97.5,19,1
12985,1,2,1239.38,73,1533,619.69,29,0
12987,74,2,558.7,27,219,279.35,198,0
12988,292,1,535.32,75,136,535.32,292,2
12989,3,15,6924.110000000001,41,2943,461.6073333333334,364,3
12990,31,3,409.5,8,200,136.5,310,1
12991,23,2,503.76,31,405,251.88,112,1
12993,23,4,414.76,26,240,103.69,298,0
12994,4,3,974.42,52,459,324.8066666666667,269,0
12995,85,1,211.32,3,108,211.32,85,1
12997,22,4,1226.89,45,664,306.7225,317,0
12999,196,3,455.88,25,342,151.96,246,2
13000,107,3,534.85,30,379,178.28333333333333,365,0
13001,4,13,9818.82,166,5505,755.2938461538462,327,3
13002,318,1,120.95,7,73,120.95,318,2
13003,106,3,149.05,4,103,49.68333333333334,215,2
13004,12,18,5655.91,277,4822,314.21722222222223,358,3
13005,174,2,513.7,21,172,256.85,246,2
13006,56,1,81.57,4,55,81.57,56,1
13008,323,1,229.47,14,175,229.47,323,2
13011,372,1,50.55,3,13,50.55,372,2
13012,9,8,1661.84,67,824,207.73,295,3
13013,1,13,4810.9400000000005,155,2224,370.0723076923077,372,3
13014,11,10,3466.28,67,905,346.628,281,3
13015,53,5,3346.28,156,1617,669.2560000000001,249,3
13016,73,3,789.89,39,527,263.2966666666667,123,0
13017,7,1,204.0,1,48,204.0,7,1
13018,16,28,7277.7,313,5435,259.91785714285714,296,3
13021,4,9,2616.38,101,1352,290.7088888888889,359,3
13023,64,2,689.9,36,286,344.95,130,0
13026,1,5,975.36,32,1620,195.072,276,0
13027,114,6,6912.0,6,17280,1152.0,355,3
13028,23,2,661.3199999999999,40,798,330.66,45,0
13029,31,3,1247.5,8,134,415.8333333333333,353,0
13030,11,2,799.48,76,394,399.74,368,0
13032,52,2,1010.18,55,375,505.09,87,0
13033,357,1,190.55,11,83,190.55,357,2
13034,55,2,642.77,37,369,321.385,369,0
13035,74,2,921.88,23,644,460.94,261,0
13037,138,3,881.07,44,431,293.69,256,0
13038,80,3,908.46,24,360,302.82,291,0
13040,9,2,676.99,38,355,338.495,33,1
13043,273,1,516.42,13,254,516.42,273,2
13044,291,1,560.47,33,429,560.47,291,2
13045,99,1,305.28000000000003,18,221,305.28000000000003,99,1
13046,31,2,629.31,33,264,314.655,266,0
13047,32,10,3237.54,106,1391,323.754,374,3
13048,14,4,1835.91,77,1238,458.9775,327,3
13049,64,2,656.6800000000001,14,268,328.34000000000003,318,0
13050,15,17,5836.86,246,3748,343.3447058823529,367,3
13052,212,1,348.15000000000003,18,222,348.15000000000003,212,2
13055,78,3,1214.41,74,894,404.8033333333333,214,0
13058,25,3,271.40000000000003,5,52,90.46666666666668,152,1
13059,250,1,183.4,8,35,183.4,250,2
13060,254,1,307.53,15,123,307.53,254,2
13061,72,1,248.61,10,107,248.61,72,1
13062,191,1,346.98,11,343,346.98,191,2
13064,13,4,1119.49,51,516,279.8725,327,0
13065,373,1,205.86,14,74,205.86,373,2
13066,24,2,470.8,48,322,235.4,32,1
13067,82,1,115.46,14,32,115.46,82,1
13068,10,2,344.0,1,200,172.0,320,1
13069,1,24,4436.12,281,5885,184.8383333333333,370,3
13070,192,1,228.8,9,110,228.8,192,2
13072,267,1,177.15,7,69,177.15,267,2
